Unique Key,InitDate,Descriptor,Zip,Address,Cross Street 1,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Latitude,Longitude,Location
33761828,7/5/16 0:00,Rat Sighting,10025,204 WEST 109TH STREET,,MANHATTAN,993955,231667,40.80254301,-73.96494546,"(40.802543009703555, -73.96494546379746)"
33761839,7/5/16 0:00,Rat Sighting,10467,2732 HOLLAND AVENUE,ALLERTON AVENUE,BRONX,1021487,254849,40.8660977,-73.86537107,"(40.86609769870467, -73.86537107150318)"
33762794,7/5/16 0:00,Rat Sighting,10034,570 W 204TH ST,,MANHATTAN,1005905,254190,40.86434092,-73.92170928,"(40.86434092197728, -73.92170927649623)"
33762795,7/5/16 0:00,Rat Sighting,10016,113 EAST   39 STREET,PARK AVENUE,MANHATTAN,990282,212480,40.74988301,-73.97822959,"(40.74988301395515, -73.97822959184226)"
33762799,7/5/16 0:00,Rat Sighting,10462,,,BRONX,1022756,243016,40.83361421,-73.86085102,"(40.833614211099764, -73.86085101798034)"
33762800,7/5/16 0:00,Rat Sighting,11385,1879 PUTNAM AVENUE,ONDERDONK AVENUE,QUEENS,1010895,195428,40.70304137,-73.90390168,"(40.70304136529704, -73.90390168289697)"
33762957,7/5/16 0:00,Rat Sighting,11221,708 LEXINGTON AVENUE,STUYVESANT AVENUE,BROOKLYN,1003313,190645,40.68993273,-73.93126058,"(40.6899327283161, -73.93126057835597)"
33762958,7/5/16 0:00,Rat Sighting,10472,1881 WATSON AVENUE,UNDERHILL AVENUE,BRONX,1022562,241088,40.82832325,-73.86156308,"(40.82832325464509, -73.86156308467768)"
33762960,7/5/16 0:00,Rat Sighting,10026,,,MANHATTAN,997255,231665,40.80253328,-73.95302584,"(40.80253327934972, -73.95302584375533)"
33762989,7/5/16 0:00,Rat Sighting,10306,14 WEED AVENUE,NEW DORP LANE,STATEN ISLAND,955270,145865,40.56699425,-74.10430691,"(40.566994254178596, -74.10430690759262)"
33762990,7/5/16 0:00,Rat Sighting,11207,748 GEORGIA AVENUE,HEGEMAN AVENUE,BROOKLYN,1013977,179256,40.65864311,-73.89285744,"(40.6586431148679, -73.89285743934349)"
33762991,7/5/16 0:00,Rat Sighting,11203,701 FENIMORE STREET,ALBANY AVENUE,BROOKLYN,1001179,179525,40.65941518,-73.93898351,"(40.65941517743085, -73.9389835134306)"
33763085,7/5/16 0:00,Rat Sighting,11215,709 5 AVENUE,22 STREET,BROOKLYN,985892,179987,40.6606993,-73.99408169,"(40.660699296661825, -73.99408169463258)"
33763979,7/5/16 0:00,Rat Sighting,10457,1748 WEEKS AVENUE,,BRONX,1009914,247335,40.84551526,-73.90724153,"(40.84551525722634, -73.90724153278542)"
33763980,7/5/16 0:00,Rat Sighting,11106,33-56 21 STREET,33 ROAD,QUEENS,1002724,217462,40.76354009,-73.93331084,"(40.763540089156436, -73.93331083830618)"
33763981,7/5/16 0:00,Rat Sighting,10461,2900 ROBERTS AVENUE,EDISON AVENUE,BRONX,1030580,247311,40.84536514,-73.83254785,"(40.84536513688102, -73.83254785294801)"
33763994,7/5/16 0:00,Rat Sighting,11373,51-25 VAN KLEECK STREET,CODWISE PLACE,QUEENS,1016880,207599,40.73642775,-73.8822571,"(40.73642775347293, -73.88225709965161)"
33764002,7/5/16 0:00,Rat Sighting,10024,55 WEST   87 STREET,CENTRAL PARK WEST,MANHATTAN,992459,225864,40.78661686,-73.97035612,"(40.786616863105834, -73.97035612035408)"
33764003,7/5/16 0:00,Rat Sighting,10473,880 BOYNTON AVENUE,LAFAYETTE AVENUE,BRONX,1018430,238528,40.82131375,-73.87650671,"(40.8213137458007, -73.87650670954116)"
33764081,7/5/16 0:00,Rat Sighting,10011,118 7 AVENUE,WEST 17 STREET,MANHATTAN,984740,209083,40.74056114,-73.99823176,"(40.74056114352299, -73.99823176270246)"
33764082,7/5/16 0:00,Rat Sighting,11373,94-31 60 AVENUE,94 STREET,QUEENS,1021415,206848,40.73434855,-73.86589707,"(40.73434855234928, -73.8658970659486)"
33764145,7/5/16 0:00,Rat Sighting,10457,1748 WEEKS AVENUE,,BRONX,1009914,247335,40.84551526,-73.90724153,"(40.84551525722634, -73.90724153278542)"
33764155,7/5/16 0:00,Rat Sighting,10016,244 EAST   32 STREET,3 AVENUE,MANHATTAN,990348,210331,40.7439845,-73.97799334,"(40.7439845035253, -73.97799333630692)"
33764156,7/5/16 0:00,Rat Sighting,10472,1025 BOYNTON AVENUE,BRUCKNER BOULEVARD,BRONX,1018209,239723,40.82459453,-73.87729914,"(40.824594531459304, -73.8772991398564)"
33764766,7/5/16 0:00,Rat Sighting,11201,50 MONROE PLACE,CLARK STREET,BROOKLYN,986238,192745,40.69571705,-73.99283083,"(40.69571704927104, -73.99283083396362)"
33764929,7/5/16 0:00,Rat Sighting,10011,255 WEST   21 STREET,7 AVENUE,MANHATTAN,984778,210139,40.7434596,-73.99809455,"(40.74345959817942, -73.99809455120324)"
33764930,7/5/16 0:00,Rat Sighting,11207,746 SNEDIKER AVENUE,LINDEN BOULEVARD,BROOKLYN,1012632,178467,40.6564819,-73.89770843,"(40.65648189781646, -73.89770842754078)"
33764933,7/5/16 0:00,Rat Sighting,10456,488 EAST  164 STREET,WASHINGTON AVENUE,BRONX,1009288,240122,40.82571947,-73.90953103,"(40.82571946537405, -73.90953103401384)"
33765082,7/5/16 0:00,Rat Sighting,10012,,,MANHATTAN,984222,203553,40.72538267,-74.00010102,"(40.725382666012344, -74.0001010191178)"
33765083,7/5/16 0:00,Rat Sighting,11433,93-05 168 STREET,93 AVENUE,QUEENS,1042048,196086,40.70469877,-73.7915394,"(40.70469877138163, -73.79153939749159)"
33765173,7/5/16 0:00,Rat Sighting,11103,40-08 30TH AVE,,QUEENS,1007910,217451,40.76349754,-73.91458998,"(40.76349753922049, -73.9145899829361)"
33765174,7/5/16 0:00,Rat Sighting,10128,1324 LEXINGTON AVENUE,EAST 88 STREET,MANHATTAN,996851,223818,40.78099597,-73.95449982,"(40.78099596751242, -73.95449981675648)"
33766065,7/5/16 0:00,Rat Sighting,11230,1199 MCDONALD AVENUE,20 AVENUE,BROOKLYN,990940,166690,40.62419951,-73.97590024,"(40.624199514575785, -73.97590023678767)"
33766188,7/5/16 0:00,Rat Sighting,11416,77-01 101ST AVENUE,,QUEENS,1022949,187178,40.68035254,-73.86047497,"(40.680352541713006, -73.86047497357761)"
33766190,7/5/16 0:00,Rat Sighting,11226,138 LINDEN BOULEVARD,BEDFORD AVENUE,BROOKLYN,997060,176974,40.65242016,-73.9538343,"(40.65242015902794, -73.95383429533136)"
33766191,7/5/16 0:00,Rat Sighting,10467,3414 OLINVILLE AVENUE,MAGENTA STREET,BRONX,1020726,258409,40.87587198,-73.86810305,"(40.87587197534816, -73.86810305309362)"
33766192,7/5/16 0:00,Rat Sighting,10032,469 WEST  157 STREET,ST NICHOLAS AVENUE,MANHATTAN,1000516,242596,40.8325304,-73.9412206,"(40.83253039613015, -73.94122059706268)"
33766193,7/5/16 0:00,Rat Sighting,10026,113 LENOX AVENUE,WEST 115 STREET,MANHATTAN,998128,231391,40.8017799,-73.94987313,"(40.801779896482955, -73.94987312830415)"
33766194,7/5/16 0:00,Rat Sighting,10026,,,MANHATTAN,997130,231440,40.8019159,-73.95347778,"(40.80191589919123, -73.95347777621474)"
33766195,7/5/16 0:00,Rat Sighting,10462,31 HUGH GRANT CIRCLE,METROPOLITAN AVENUE,BRONX,1022782,243013,40.83360586,-73.86075708,"(40.83360586357647, -73.86075707927273)"
33766272,7/5/16 0:00,Rat Sighting,10312,38 JEANETTE AVENUE,ANNADALE ROAD,STATEN ISLAND,935396,137223,40.54318644,-74.17577627,"(40.54318643716568, -74.17577627342163)"
33766273,7/5/16 0:00,Rat Sighting,10025,6 WEST  103 STREET,CENTRAL PARK WEST,MANHATTAN,994802,229389,40.79628955,-73.96188967,"(40.79628955081119, -73.96188967328384)"
33766274,7/5/16 0:00,Rat Sighting,10128,1324 LEXINGTON AVENUE,EAST 88 STREET,MANHATTAN,996851,223818,40.78099597,-73.95449982,"(40.78099596751242, -73.95449981675648)"
33766282,7/5/16 0:00,Rat Sighting,10462,12 METROPOLITAN OVAL,BEND,BRONX,1023224,244727,40.83830835,-73.85914987,"(40.83830835223217, -73.85914986923147)"
33766370,7/5/16 0:00,Rat Sighting,10016,244 EAST   32 STREET,3 AVENUE,MANHATTAN,990348,210331,40.7439845,-73.97799334,"(40.7439845035253, -73.97799333630692)"
